#CHROM	START	END	LOCUS	SYMBOL	strand	annotation
Chr6	3713855	3714319	LOC_Os06g07670	-	+	expressed_protein
Chr6	3721623	3723002	LOC_Os06g07690	-	+	expressed_protein
Chr6	3723342	3725138	LOC_Os06g07700	-	-	expressed_protein
Chr6	3747261	3749226	LOC_Os06g07740	-	-	myb-like_DNA-binding_domain,SHAQKYF_class_family_protein,expressed
Chr6	3752004	3752432	LOC_Os06g07750	-	+	expressed_protein
Chr6	3759825	3762185	LOC_Os06g07760	OsSrx	+	sulfiredoxin-1,putative,expressed
Chr6	3762943	3773095	LOC_Os06g07770	-	+	expressed_protein
Chr6	3773667	3776566	LOC_Os06g07780	-	-	vesicle-associated_membrane_protein,putative,expressed
Chr6	3788062	3789804	LOC_Os06g07800	-	+	expressed_protein
Chr6	3795464	3798623	LOC_Os06g07820	-	-	BSD_domain_containing_protein,expressed
Chr6	3801206	3807784	LOC_Os06g07830	-	-	ANTH%2FENTH_domain_containing_protein,putative,expressed
Chr6	3810431	3810634	LOC_Os06g07840	-	+	hypothetical_protein
Chr6	3823021	3827411	LOC_Os06g07860	-	+	cystathionine_gamma-synthase,putative,expressed
Chr6	3823413	3827346	LOC_Os06g07960	-	+	cystathionine_gamma-synthase,putative,expressed
Chr6	3828204	3829961	LOC_Os06g07869	-	+	cytochrome_b-c1_complex_subunit_8,putative,expressed
Chr6	3832012	3833595	LOC_Os06g07878	-	+	peptidase,T1_family,putative,expressed
Chr6	3840732	3844896	LOC_Os06g07905	-	+	galactosyltransferase_family_protein,putative,expressed
Chr6	3846106	3848325	LOC_Os06g07914	-	+	hydroxylase,putative,expressed
Chr6	3852139	3854472	LOC_Os06g07923	-	+	expressed_protein
Chr6	3854646	3857393	LOC_Os06g07932	-	+	flavonol_synthase%2Fflavanone_3-hydroxylase,putative,expressed
Chr6	3858434	3860468	LOC_Os06g07941	-	+	iron%2Fascorbate-dependent_oxidoreductase,putative,expressed
Chr6	3866159	3868200	LOC_Os06g07969	-	+	cytochrome_b-c1_complex_subunit_8,putative,expressed
Chr6	3870164	3870916	LOC_Os06g07978	-	+	peptidase,T1_family,putative,expressed
Chr6	3872355	3874569	LOC_Os06g07887	-	-	exostosin_family_protein,putative,expressed
Chr6	3875484	3878203	LOC_Os06g07896	-	-	ribosomal_protein_S15_containing_protein,expressed
Chr6	3878852	3882839	LOC_Os06g08005	-	+	galactosyltransferase_family_protein,putative,expressed
Chr6	3884192	3885867	LOC_Os06g08014	-	+	hydroxylase,putative,expressed
Chr6	3889190	3892359	LOC_Os06g08023	-	+	flavonol_synthase%2Fflavanone_3-hydroxylase,putative,expressed
Chr6	3893672	3895400	LOC_Os06g08032	-	+	flavonol_synthase%2Fflavanone_3-hydroxylase,putative,expressed
Chr6	3896490	3898785	LOC_Os06g08041	-	+	iron%2Fascorbate-dependent_oxidoreductase,putative,expressed
Chr6	3900488	3903056	LOC_Os06g08060	-	+	leucoanthocyanidin_dioxygenase,putative,expressed
Chr6	3919501	3924409	LOC_Os06g08080	OVP2	+	inorganic_H%2B_pyrophosphatase,putative,expressed
Chr6	3924681	3927945	LOC_Os06g08090	-	-	heparanase-like_protein_precursor,putative,expressed
Chr6	3932092	3932802	LOC_Os06g08100	-	+	jp18,putative,expressed
Chr6	3934027	3937229	LOC_Os06g08110	-	-	nodulin,putative,expressed
Chr6	3941687	3943447	LOC_Os06g08120	-	+	plant_protein_of_unknown_function_domain_containing_protein,expressed
Chr6	3946825	3947689	LOC_Os06g08130	-	-	expressed_protein
Chr6	3947926	3952251	LOC_Os06g08140	-	-	protein_phosphatase_2C,putative,expressed
Chr6	3956913	3961586	LOC_Os06g08154	-	-	receptor-like_protein_kinase_5_precursor,putative,expressed
Chr6	3961923	3964854	LOC_Os06g08170	-	-	transporter,major_facilitator_family,putative,expressed
Chr6	3966030	3969599	LOC_Os06g08180	-	-	expressed_protein
Chr6	3972478	3973001	LOC_Os06g08190	-	-	expressed_protein
Chr6	3975756	3976128	LOC_Os06g08200	-	-	expressed_protein
Chr6	3977891	3978241	LOC_Os06g08210	-	-	expressed_protein
Chr6	3981597	3982578	LOC_Os06g08220	-	-	expressed_protein
Chr6	3983594	3984270	LOC_Os06g08230	-	-	expressed_protein
Chr6	3990605	3993034	LOC_Os06g08240	-	-	expressed_protein
Chr6	3994993	3996159	LOC_Os06g08250	-	-	zinc_finger_family_protein,putative,expressed
Chr6	4004934	4005618	LOC_Os06g08270	-	-	expressed_protein
Chr6	4008139	4013539	LOC_Os06g08280	-	+	protein_kinase_domain_containing_protein,expressed
Chr6	4015962	4019327	LOC_Os06g08290	AID1	+	MYB_family_transcription_factor,putative,expressed
Chr6	4019847	4022602	LOC_Os06g08300	-	+	FAD_dependent_oxidoreductase_domain_containing_protein,expressed
Chr6	4027361	4030375	LOC_Os06g08310	-	-	plasma_membrane_ATPase,putative,expressed
Chr6	4033795	4034043	LOC_Os06g08320	-	-	60S_ribosomal_protein_L39,putative,expressed
Chr6	4040908	4041551	LOC_Os06g08340	OsERF2	+	AP2_domain_containing_protein,expressed
Chr6	4051268	4052804	LOC_Os06g08350	-	+	expressed_protein
Chr6	4062304	4063540	LOC_Os06g08360	-	-	ethylene-responsive_element-binding_protein,putative,expressed
Chr6	4064783	4065225	LOC_Os06g08370	-	-	hypothetical_protein
Chr6	4066762	4083811	LOC_Os06g08380	GSL5|OsGSL5	-	1%2C3-beta-glucan_synthase_component_domain_containing_protein,expressed
Chr6	4087964	4092245	LOC_Os06g08390	-	+	Ser%2FThr_protein_phosphatase_family_protein,putative,expressed
Chr6	4093231	4100936	LOC_Os06g08400	OsDA1	+	LIM_domain-containing_protein,putative,expressed
Chr6	4137248	4142663	LOC_Os06g08440	OsRR22|HST1	+	two-component_response_regulator,putative,expressed
Chr6	4142851	4150976	LOC_Os06g08450	OHK1	-	histidine_kinase,putative,expressed
Chr6	4161337	4162797	LOC_Os06g08460	-	+	exo70_exocyst_complex_subunit,putative,expressed
Chr6	4162931	4167042	LOC_Os06g08470	-	-	expressed_protein
Chr6	4167229	4183940	LOC_Os06g08480	-	-	CHD3-type_chromatin-remodeling_factor_PICKLE,putative,expressed
Chr6	4189066	4190563	LOC_Os06g08490	-	-	X0001,putative,expressed
Chr6	4192207	4194416	LOC_Os06g08500	OsRHL1	-	BHLH_transcription_factor,putative,expressed
Chr6	4201213	4202867	LOC_Os06g08510	DPL2	-	expressed_protein
Chr6	4213119	4218603	LOC_Os06g08530	-	-	ubiquitin_carboxyl-terminal_hydrolase_domain_containing_protein,expressed
Chr6	4224295	4228006	LOC_Os06g08540	-	+	formin-like_protein_13,putative,expressed
Chr6	4229184	4233157	LOC_Os06g08550	OsNPY2	-	BTBN14_-_Bric-a-Brac,Tramtrack,Broad_Complex_BTB_domain_with_non-phototropic_hypocotyl_3_NPH3_domain,expressed
Chr6	4250728	4264343	LOC_Os06g08560	-	+	multidrug_resistance-associated_protein_11,putative,expressed
Chr6	4264424	4265115	LOC_Os06g08564	-	-	OsRCI2-8_-_Putative_low_temperature_and_salt_responsive_protein,expressed
Chr6	4266426	4270771	LOC_Os06g08570	-	-	PPR_repeat_domain_containing_protein,putative,expressed
Chr6	4268969	4270771	LOC_Os06g08580	OsPHT1	+	transferase_family_protein,putative,expressed
Chr6	4271134	4272241	LOC_Os06g08590	-	-	hypothetical_protein
Chr6	4276289	4277140	LOC_Os06g08600	-	+	versicolorin_reductase,putative,expressed
Chr6	4286708	4287890	LOC_Os06g08610	OsPHT2	+	transferase_family_protein,putative,expressed
Chr6	4288384	4288950	LOC_Os06g08620	-	+	expressed_protein
Chr6	4301557	4303121	LOC_Os06g08640	-	-	transferase_family_protein,putative,expressed
Chr6	4313312	4316596	LOC_Os06g08650	-	+	pentatricopeptide,putative,expressed
Chr6	4315693	4319249	LOC_Os06g08660	-	-	pentatricopeptide,putative,expressed
Chr6	4321607	4325283	LOC_Os06g08670	-	+	glutathione_peroxidase,putative,expressed
Chr6	4329666	4330598	LOC_Os06g08680	-	+	expressed_protein
Chr6	4331516	4334806	LOC_Os06g08690	-	-	leucine-rich_repeat_receptor_protein_kinase_EXS_precursor,putative,expressed
Chr6	4339307	4342791	LOC_Os06g08710	-	-	receptor-like_protein_kinase_precursor,putative,expressed
Chr6	4345918	4353384	LOC_Os06g08720	-	-	OsSCP32_-_Putative_Serine_Carboxypeptidase_homologue,expressed
Chr6	4362697	4370853	LOC_Os06g08730	-	+	expressed_protein
Chr6	4370966	4376383	LOC_Os06g08740	-	-	expressed_protein
Chr6	4379795	4383418	LOC_Os06g08750	-	-	integral_membrane_transporter_family_protein,putative,expressed
Chr6	4384883	4385110	LOC_Os06g08760	-	-	conserved_hypothetical_protein
Chr6	4388209	4391753	LOC_Os06g08770	OIP30	-	ruvB-like_2,putative,expressed
Chr6	4392766	4393089	LOC_Os06g08780	-	+	expressed_protein
Chr6	4393376	4401129	LOC_Os06g08790	OsORC1	+	ORC1_-_Putative_origin_recognition_complex_subunit_1,expressed
Chr6	4401651	4403235	LOC_Os06g08800	-	+	RNA_cap_guanine-N2_methyltransferase_domain_containing_protein,expressed
Chr6	4404061	4406034	LOC_Os06g08810	-	-	NAD_dependent_epimerase%2Fdehydratase_family_protein,putative,expressed
Chr6	4410056	4411390	LOC_Os06g08820	-	+	RING-H2_finger_protein,putative,expressed
Chr6	4418692	4420382	LOC_Os06g08830	-	-	UDP-glucoronosyl_and_UDP-glucosyl_transferase,putative,expressed
Chr6	4428666	4432336	LOC_Os06g08840	-	+	RNA_recognition_motif_containing_protein,expressed
Chr6	4436990	4442872	LOC_Os06g08850	-	+	cyclic_nucleotide-gated_ion_channel_14,putative,expressed
Chr6	4443021	4446510	LOC_Os06g08860	-	-	transporter_family_protein,putative,expressed
Chr6	4449584	4449773	LOC_Os06g08870	-	+	hypothetical_protein
Chr6	4459007	4463882	LOC_Os06g08880	-	+	glutamate_receptor_2.7_precursor,putative,expressed
Chr6	4468201	4470899	LOC_Os06g08884	-	-	expressed_protein
Chr6	4472342	4476668	LOC_Os06g08890	-	-	glutamate_receptor_3.4_precursor,putative,expressed
Chr6	4481240	4487783	LOC_Os06g08900	-	-	glutamate_receptor_2.6_precursor,putative,expressed
Chr6	4489429	4493930	LOC_Os06g08910	-	-	glutamate_receptor_2.8_precursor,putative,expressed
Chr6	4497905	4499413	LOC_Os06g08920	-	+	expressed_protein
Chr6	4500766	4502665	LOC_Os06g08930	-	-	glutamate_receptor_2.8_precursor,putative,expressed
Chr6	4516893	4524960	LOC_Os06g08960	-	-	expressed_protein
Chr6	4529984	4530415	LOC_Os06g08980	-	-	expressed_protein
Chr6	4531527	4532630	LOC_Os06g08990	-	+	expressed_protein
Chr6	4534690	4535053	LOC_Os06g09000	-	+	expressed_protein
Chr6	4536224	4537804	LOC_Os06g09010	-	-	expressed_protein
Chr6	4538337	4541705	LOC_Os06g09020	-	+	expressed_protein
Chr6	4546926	4547189	LOC_Os06g09030	-	-	expressed_protein
Chr6	4556487	4558020	LOC_Os06g09050	-	-	glutamate_receptor_precursor,putative,expressed
Chr6	4571088	4574927	LOC_Os06g09090	-	-	glutamate_receptor_2.8_precursor,putative,expressed
Chr6	4583308	4585736	LOC_Os06g09110	-	+	expressed_protein
Chr6	4587789	4591087	LOC_Os06g09120	-	-	glutamate_receptor_2.8_precursor,putative,expressed
Chr6	4593689	4597978	LOC_Os06g09130	-	-	glutamate_receptor_2.8_precursor,putative,expressed
Chr6	4604420	4605034	LOC_Os06g09140	-	-	expressed_protein
Chr6	4607806	4608108	LOC_Os06g09160	-	+	expressed_protein
Chr6	4612249	4615892	LOC_Os06g09170	-	+	zinc_ion_binding_protein,putative,expressed
Chr6	4616608	4618211	LOC_Os06g09180	-	+	OsMKK5_-_putative_MAPKK_based_on_amino_acid_sequence_homology,expressed
Chr6	4624188	4625517	LOC_Os06g09190	-	+	mitogen-activated_protein_kinase_kinase_5,putative,expressed
Chr6	4629401	4629991	LOC_Os06g09200	-	+	expressed_protein
Chr6	4630848	4632543	LOC_Os06g09210	-	+	cytochrome_P450_72A1,putative,expressed
Chr6	4633663	4635469	LOC_Os06g09220	-	-	cytochrome_P450_72A1,putative,expressed
Chr6	4640591	4645101	LOC_Os06g09230	-	-	serine_threonine_kinase,putative,expressed
Chr6	4647954	4649523	LOC_Os06g09240	-	+	anthocyanidin_3-O-glucosyltransferase,putative,expressed
Chr6	4649581	4650153	LOC_Os06g09250	-	-	expressed_protein
Chr6	4650896	4651519	LOC_Os06g09260	-	+	expressed_protein
Chr6	4653457	4655652	LOC_Os06g09270	-	-	hypro1,putative,expressed
Chr6	4659377	4667061	LOC_Os06g09280	-	+	ATP-dependent_RNA_helicase,putative,expressed
Chr6	4667486	4670980	LOC_Os06g09290	-	+	26S_protease_regulatory_subunit_7,putative,expressed
Chr6	4672872	4673672	LOC_Os06g09300	-	-	hypothetical_protein
Chr6	4678838	4680332	LOC_Os06g09310	-	+	zinc_finger,C3HC4_type_domain_containing_protein,expressed
Chr6	4686957	4690304	LOC_Os06g09320	-	+	expressed_protein
Chr6	4690734	4695316	LOC_Os06g09330	-	-	ubiquitin-conjugating_enzyme,putative,expressed
Chr6	4700489	4703227	LOC_Os06g09340	-	+	pectinesterase,putative,expressed
Chr6	4703899	4704882	LOC_Os06g09350	-	-	expressed_protein
Chr6	4709743	4715552	LOC_Os06g09370	OsPTF1	-	PTF1,putative,expressed
Chr6	4720600	4721427	LOC_Os06g09380	-	-	expressed_protein
Chr6	4731330	4733911	LOC_Os06g09390	OsERF71	+	AP2_domain_containing_protein,expressed
Chr6	4748810	4749958	LOC_Os06g09400	-	-	hypothetical_protein
Chr6	4762004	4764618	LOC_Os06g09420	-	+	B3_DNA_binding_domain_containing_protein,expressed
Chr6	4788157	4788402	LOC_Os06g09430	-	-	hypothetical_protein
Chr6	4796286	4804246	LOC_Os06g09450	-	-	sucrose_synthase,putative,expressed
Chr6	4837765	4838235	LOC_Os06g09510	-	+	hypothetical_protein
Chr6	4839628	4840128	LOC_Os06g09520	-	+	expressed_protein
Chr6	4842374	4843369	LOC_Os06g09530	-	+	expressed_protein
Chr6	4844482	4854759	LOC_Os06g09540	-	-	SAC_domain_containing_protein,putative,expressed
Chr6	4862980	4863638	LOC_Os06g09550	-	-	expressed_protein
Chr6	4867843	4870168	LOC_Os06g09560	-	+	heat_shock_protein_DnaJ,putative,expressed
Chr6	4870860	4874711	LOC_Os06g09570	-	-	nucleolar_GTP-binding_protein_1,putative,expressed
Chr6	4885944	4886653	LOC_Os06g09600	-	-	expressed_protein
Chr6	4888548	4890731	LOC_Os06g09610	-	-	peroxiredoxin,putative,expressed
Chr6	4892093	4895721	LOC_Os06g09620	-	-	expressed_protein
Chr6	4897179	4900565	LOC_Os06g09630	OsKASI	-	3-oxoacyl-synthase,putative,expressed
Chr6	4926492	4932177	LOC_Os06g09660	OsARF16	+	auxin_response_factor,putative,expressed
Chr6	4933905	4938500	LOC_Os06g09679	-	+	chaperonin,putative,expressed
Chr6	4949221	4953397	LOC_Os06g09688	-	+	chaperonin,putative,expressed
Chr6	4954996	4955403	LOC_Os06g09698	-	+	expressed_protein
Chr6	4960147	4960770	LOC_Os06g09717	-	+	ethylene-responsive_transcription_factor,putative,expressed
Chr6	4972237	4972773	LOC_Os06g09760	-	+	AP2_domain_containing_protein,expressed
Chr6	4974618	4977601	LOC_Os06g09770	-	+	expressed_protein
Chr6	4991219	4992149	LOC_Os06g09790	-	+	ethylene-responsive_transcription_factor,putative,expressed
Chr6	4995258	4995860	LOC_Os06g09800	-	-	expressed_protein
Chr6	4998064	4998687	LOC_Os06g09810	-	+	ethylene-responsive_transcription_factor,putative,expressed
Chr6	5002237	5004824	LOC_Os06g09820	-	-	cupin_superfamily_protein,putative,expressed
Chr6	5005409	5008058	LOC_Os06g09830	-	-	cupin_superfamily_protein,putative,expressed
Chr6	5008191	5010734	LOC_Os06g09840	-	+	expressed_protein
Chr6	5012361	5016657	LOC_Os06g09850	-	-	25.3_kDa_vesicle_transport_protein,putative,expressed
Chr6	5018061	5020426	LOC_Os06g09860	-	+	expressed_protein
Chr6	5029395	5035358	LOC_Os06g09880	-	-	EMB1270,putative,expressed
Chr6	5036116	5041239	LOC_Os06g09890	-	-	smr_domain_containing_protein,expressed
Chr6	5044931	5046247	LOC_Os06g09900	-	-	expressed_protein
Chr6	5054303	5056846	LOC_Os06g09910	OsHAL3	-	phosphopantothenoylcysteine_decarboxylase,putative,expressed
Chr6	5057622	5058035	LOC_Os06g09920	-	-	expressed_protein
Chr6	5060660	5065027	LOC_Os06g09930	OsGPCR	+	G_protein_coupled_receptor,putative,expressed
Chr6	5068259	5068576	LOC_Os06g09940	-	+	expressed_protein
Chr6	5071900	5072112	LOC_Os06g09950	-	+	expressed_protein
Chr6	5082839	5084091	LOC_Os06g09960	-	+	expressed_protein
Chr6	5085603	5086090	LOC_Os06g09970	-	+	expressed_protein
Chr6	5090954	5092121	LOC_Os06g09980	-	+	expressed_protein
Chr6	5097035	5097380	LOC_Os06g09990	-	-	expressed_protein
Chr6	5102326	5103441	LOC_Os06g10000	-	+	expressed_protein
Chr6	5104665	5105192	LOC_Os06g10010	-	+	expressed_protein
Chr6	5106165	5107092	LOC_Os06g10020	-	+	expressed_protein
Chr6	5109368	5109718	LOC_Os06g10030	-	+	expressed_protein
Chr6	5118539	5118877	LOC_Os06g10040	-	+	expressed_protein
Chr6	5121494	5122335	LOC_Os06g10050	-	+	expressed_protein
Chr6	5125393	5125767	LOC_Os06g10060	-	+	expressed_protein
Chr6	5129815	5130579	LOC_Os06g10070	-	+	expressed_protein
Chr6	5137168	5138892	LOC_Os06g10090	-	-	hypothetical_protein
Chr6	5143278	5144540	LOC_Os06g10100	-	+	expressed_protein
Chr6	5158179	5165171	LOC_Os06g10109	-	+	expressed_protein
Chr6	5179712	5180748	LOC_Os06g10130	-	+	expressed_protein
Chr6	5186447	5188307	LOC_Os06g10140	-	-	expressed_protein
Chr6	5195454	5195854	LOC_Os06g10150	-	+	hypothetical_protein
Chr6	5196601	5199451	LOC_Os06g10160	-	-	tyrosine_protein_kinase_domain_containing_protein,putative,expressed
Chr6	5208681	5212330	LOC_Os06g10170	-	-	flavin-containing_monooxygenase_family_protein,putative,expressed
Chr6	5213489	5214599	LOC_Os06g10180	-	-	flavin-containing_monooxygenase_1,putative,expressed
Chr6	5216711	5218031	LOC_Os06g10190	-	-	flavin-containing_monooxygenase_2,putative,expressed
Chr6	5221419	5225270	LOC_Os06g10200	-	+	adenylate_kinase,putative,expressed
Chr6	5227416	5231645	LOC_Os06g10210	-	+	expressed_protein
Chr6	5237897	5240269	LOC_Os06g10220	-	+	expressed_protein
Chr6	5244239	5251843	LOC_Os06g10230	OsER1	-	receptor-like_protein_kinase_5_precursor,putative,expressed
Chr6	5253678	5254094	LOC_Os06g10240	-	+	expressed_protein
Chr6	5258955	5261612	LOC_Os06g10250	-	+	expressed_protein
Chr6	5264603	5265958	LOC_Os06g10260	-	-	cytochrome_P450,putative,expressed
Chr6	5276590	5285926	LOC_Os06g10280	-	-	CDP-alcohol_phosphatidyltransferase,putative,expressed
Chr6	5288461	5293460	LOC_Os06g10290	-	+	OsFBX191_-_F-box_domain_containing_protein,expressed
Chr6	5295022	5297673	LOC_Os06g10300	-	+	OsFBL29_-_F-box_domain_and_LRR_containing_protein,expressed
Chr6	5300136	5301473	LOC_Os06g10310	-	+	growth_regulating_factor_protein,putative,expressed
Chr6	5305528	5306731	LOC_Os06g10320	-	+	expressed_protein
Chr6	5307466	5307747	LOC_Os06g10330	-	+	myb-related_protein_308,putative,expressed
Chr6	5308992	5310602	LOC_Os06g10340	-	+	autophagy-related_protein_12,putative,expressed
Chr6	5315178	5316875	LOC_Os06g10350	OsC1	+	MYB_family_transcription_factor,putative,expressed
Chr6	5317478	5319011	LOC_Os06g10355	-	-	expressed_protein
Chr6	5342445	5342819	LOC_Os06g10400	-	-	expressed_protein
Chr6	5345377	5348679	LOC_Os06g10410	-	-	uncharacterized_mscS_family_protein,putative,expressed
Chr6	5356979	5358952	LOC_Os06g10420	-	+	nitrilase,putative,expressed
Chr6	5359508	5367120	LOC_Os06g10430	-	+	protein_of_unknown_function_DUF1296_domain_containing_protein,expressed
Chr6	5369569	5372876	LOC_Os06g10440	-	+	gb_protein,putative,expressed
Chr6	5374769	5376782	LOC_Os06g10450	-	+	expressed_protein
Chr6	5386400	5387220	LOC_Os06g10460	-	+	expressed_protein
Chr6	5388229	5389014	LOC_Os06g10470	-	+	ZOS6-02_-_C2H2_zinc_finger_protein,expressed
Chr6	5393251	5406651	LOC_Os06g10480	-	+	expressed_protein
Chr6	5409026	5410030	LOC_Os06g10510	-	+	oxidoreductase%2F_transition_metal_ion_binding_protein,putative,expressed
Chr6	5420908	5427254	LOC_Os06g10520	-	+	pantothenate_kinase,putative,expressed
Chr6	5431526	5432214	LOC_Os06g10530	-	+	expressed_protein
Chr6	5433459	5433782	LOC_Os06g10540	-	-	expressed_protein
Chr6	5449104	5453124	LOC_Os06g10560	-	+	leaf_senescence_related_protein,putative,expressed
Chr6	5457825	5459266	LOC_Os06g10570	-	+	expressed_protein
Chr6	5461001	5471943	LOC_Os06g10580	OsCNGC13	-	cyclic_nucleotide-gated_ion_channel,putative,expressed
Chr6	5497369	5498771	LOC_Os06g10590	-	+	expressed_protein
Chr6	5499342	5502411	LOC_Os06g10600	-	-	homeobox_and_START_domains_containing_protein,putative,expressed
Chr6	5522553	5523176	LOC_Os06g10610	-	+	expressed_protein
Chr6	5523780	5528576	LOC_Os06g10620	-	-	transcription_elongation_factor_SPT5_homolog_1,putative,expressed
Chr6	5555007	5559140	LOC_Os06g10650	-	+	tyrosine_phosphatase_family_protein,putative,expressed
Chr6	5559909	5563097	LOC_Os06g10660	LYP6|OsLYP6	+	lysM_domain-containing_GPI-anchored_protein_1_precursor,putative,expressed
Chr6	5569910	5571471	LOC_Os06g10670	-	+	aspartic_proteinase_nepenthesin-1_precursor,putative,expressed
Chr6	5572599	5573850	LOC_Os06g10680	-	+	expressed_protein
Chr6	5575867	5584373	LOC_Os06g10690	-	-	PHD-finger_domain_containing_protein,putative,expressed
Chr6	5586611	5586901	LOC_Os06g10700	-	-	expressed_protein
Chr6	5588196	5594757	LOC_Os06g10710	-	+	expressed_protein
Chr6	5597520	5597825	LOC_Os06g10720	-	+	expressed_protein
Chr6	5601748	5604984	LOC_Os06g10730	-	+	expressed_protein
Chr6	5613999	5617153	LOC_Os06g10750	-	+	integral_membrane_protein_DUF6_containing_protein,expressed
Chr6	5619105	5621750	LOC_Os06g10760	-	+	emp24%2Fgp25L%2Fp24_family_protein,putative,expressed
Chr6	5621926	5625701	LOC_Os06g10770	-	+	peptidase,putative,expressed
Chr6	5629416	5631997	LOC_Os06g10780	-	+	AP2_domain_containing_protein,expressed
Chr6	5633354	5635721	LOC_Os06g10790	-	-	lectin-like_receptor_kinase,putative,expressed
Chr6	5636936	5637931	LOC_Os06g10800	-	-	zinc_finger_family_protein,putative,expressed
Chr6	5638272	5641660	LOC_Os06g10810	-	+	phosphate_carrier_protein,mitochondrial_precursor,putative,expressed
Chr6	5642245	5642880	LOC_Os06g10820	-	+	helix-loop-helix_DNA-binding_domain_containing_protein,expressed
Chr6	5653538	5653942	LOC_Os06g10840	-	-	expressed_protein
Chr6	5657850	5661265	LOC_Os06g10850	-	+	lipase,putative,expressed
Chr6	5663968	5665309	LOC_Os06g10860	-	+	glucosyltransferase,putative,expressed
Chr6	5677080	5682126	LOC_Os06g10880	OsAREB8|OsAREB1|OsbZIP46|OsABF2|ABL1	+	bZIP_transcription_factor,putative,expressed
Chr6	5688535	5690095	LOC_Os06g10890	-	+	sterol_carrier_protein-2,putative,expressed
Chr6	5693807	5694649	LOC_Os06g10900	-	+	DELLA_protein_RGL3,putative,expressed
Chr6	5701639	5704991	LOC_Os06g10910	-	+	xyloglucan_fucosyltransferase,putative,expressed
Chr6	5705127	5707910	LOC_Os06g10920	-	-	xyloglucan_fucosyltransferase,putative,expressed
Chr6	5712154	5714660	LOC_Os06g10930	-	-	xyloglucan_fucosyltransferase,putative,expressed
Chr6	5717068	5717478	LOC_Os06g10940	-	+	expressed_protein
Chr6	5718733	5720698	LOC_Os06g10950	-	-	xyloglucan_fucosyltransferase,putative,expressed
Chr6	5721756	5726745	LOC_Os06g10960	-	+	xyloglucan_fucosyltransferase,putative,expressed
Chr6	5732121	5734237	LOC_Os06g10970	-	+	xyloglucan_fucosyltransferase,putative,expressed
Chr6	5734288	5736153	LOC_Os06g10980	-	-	xyloglucan_fucosyltransferase,putative,expressed
Chr6	5745188	5747209	LOC_Os06g10990	S5(ORF3)	-	DnaK_family_protein,putative,expressed
Chr6	5759685	5761518	LOC_Os06g11010	S5(ORF5)	+	eukaryotic_aspartyl_protease_domain_containing_protein,expressed
Chr6	5773405	5777316	LOC_Os06g11020	-	-	tic22-like_family_domain_containing_protein,expressed
Chr6	5778761	5779333	LOC_Os06g11030	-	-	EF_hand_family_protein,putative,expressed
Chr6	5784166	5788998	LOC_Os06g11040	-	-	expressed_protein
Chr6	5791466	5795810	LOC_Os06g11050	-	-	cyclin-dependent_kinase_inhibitor,putative,expressed
Chr6	5800188	5800857	LOC_Os06g11060	-	+	expressed_protein
Chr6	5807269	5811211	LOC_Os06g11070	-	+	expressed_protein
Chr6	5812591	5813000	LOC_Os06g11080	-	+	hypothetical_protein
Chr6	5813468	5815196	LOC_Os06g11090	-	+	CXE_carboxylesterase,putative,expressed
Chr6	5830906	5833223	LOC_Os06g11120	-	-	expressed_protein
Chr6	5835562	5837122	LOC_Os06g11130	-	+	gibberellin_receptor_GID1L2,putative,expressed
Chr6	5837564	5838523	LOC_Os06g11135	-	-	gibberellin_receptor_GID1L2,putative,expressed
Chr6	5840075	5844550	LOC_Os06g11140	-	-	pyridine_nucleotide-disulphide_oxidoreductase_domain_containing_protein,expressed
Chr6	5847981	5849957	LOC_Os06g11150	-	+	DUF1645_domain_containing_protein,putative,expressed
Chr6	5854313	5854669	LOC_Os06g11160	-	+	expressed_protein
Chr6	5857235	5861126	LOC_Os06g11170	-	-	formin-binding_protein-related,putative,expressed
Chr6	5862163	5869596	LOC_Os06g11180	-	-	OsPOP12_-_Putative_Prolyl_Oligopeptidase_homologue,expressed
Chr6	5869895	5876421	LOC_Os06g11190	-	-	OsPOP13_-_Putative_Prolyl_Oligopeptidase_homologue,expressed
Chr6	5878572	5880549	LOC_Os06g11200	-	-	12-oxophytodienoate_reductase,putative,expressed
Chr6	5884474	5886141	LOC_Os06g11210	-	-	12-oxophytodienoate_reductase,putative,expressed
Chr6	5892688	5894037	LOC_Os06g11230	-	-	expressed_protein
Chr6	5894721	5896352	LOC_Os06g11240	-	-	12-oxophytodienoate_reductase,putative,expressed
Chr6	5905264	5906018	LOC_Os06g11260	-	-	12-oxophytodienoate_reductase_2,putative,expressed
Chr6	5908095	5909468	LOC_Os06g11270	-	-	anthocyanidin_3-O-glucosyltransferase,putative,expressed
Chr6	5912374	5914368	LOC_Os06g11280	-	-	12-oxophytodienoate_reductase,putative,expressed
Chr6	5918106	5919690	LOC_Os06g11290	OsOPR1	-	12-oxophytodienoate_reductase,putative,expressed
Chr6	5921695	5923664	LOC_Os06g11300	-	-	CRR4,putative,expressed
Chr6	5921977	5925597	LOC_Os06g11304	-	-	expressed_protein
Chr6	5927194	5928879	LOC_Os06g11308	-	-	hypothetical_protein
Chr6	5930399	5931984	LOC_Os06g11310	-	-	plastocyanin-like_domain_containing_protein,putative,expressed
Chr6	5933788	5939645	LOC_Os06g11320	-	-	peptidyl-prolyl_cis-trans_isomerase_CYP40,putative,expressed
